"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","Runs Cucumber Scenarios","Suite","Wed Jan 01 14:53:05 GMT 2025","broken","Wed Jan 01 14:53:05 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","14","Runs Cucumber Scenarios","Suite","Wed Jan 01 14:53:04 GMT 2025","broken","Wed Jan 01 14:53:04 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","9","Runs Cucumber Scenarios","Suite","Wed Jan 01 14:53:04 GMT 2025","broken","Wed Jan 01 14:53:04 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","15","Runs Cucumber Scenarios","Suite","Wed Jan 01 14:53:04 GMT 2025","broken","Wed Jan 01 14:53:04 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","7","Runs Cucumber Scenarios","Suite","Wed Jan 01 14:53:05 GMT 2025","broken","Wed Jan 01 14:53:05 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","7","Runs Cucumber Scenarios","Suite","Wed Jan 01 14:53:05 GMT 2025","broken","Wed Jan 01 14:53:05 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","9","Runs Cucumber Scenarios","Suite","Wed Jan 01 14:53:04 GMT 2025","broken","Wed Jan 01 14:53:04 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","7","Runs Cucumber Scenarios","Suite","Wed Jan 01 14:53:04 GMT 2025","broken","Wed Jan 01 14:53:05 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","8","Runs Cucumber Scenarios","Suite","Wed Jan 01 14:53:05 GMT 2025","broken","Wed Jan 01 14:53:05 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","7","Runs Cucumber Scenarios","Suite","Wed Jan 01 14:53:04 GMT 2025","broken","Wed Jan 01 14:53:04 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","9","Runs Cucumber Scenarios","Suite","Wed Jan 01 14:53:04 GMT 2025","broken","Wed Jan 01 14:53:04 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","8","Runs Cucumber Scenarios","Suite","Wed Jan 01 14:53:05 GMT 2025","broken","Wed Jan 01 14:53:05 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","10","Runs Cucumber Scenarios","Suite","Wed Jan 01 14:53:04 GMT 2025","broken","Wed Jan 01 14:53:04 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","7","Runs Cucumber Scenarios","Suite","Wed Jan 01 14:53:05 GMT 2025","broken","Wed Jan 01 14:53:05 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","9","Runs Cucumber Scenarios","Suite","Wed Jan 01 14:53:04 GMT 2025","broken","Wed Jan 01 14:53:04 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
