"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24202","Runs Cucumber Scenarios","Suite","Sun Dec 29 10:55:11 IST 2024","broken","Sun Dec 29 10:55:35 IST 2024","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","191","Runs Cucumber Scenarios","Suite","Sun Dec 29 10:55:09 IST 2024","failed","Sun Dec 29 10:55:09 IST 2024","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","21581","Runs Cucumber Scenarios","Suite","Sun Dec 29 10:56:35 IST 2024","broken","Sun Dec 29 10:56:57 IST 2024","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","20021","Runs Cucumber Scenarios","Suite","Sun Dec 29 10:56:15 IST 2024","broken","Sun Dec 29 10:56:35 IST 2024","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","100","Runs Cucumber Scenarios","Suite","Sun Dec 29 10:55:08 IST 2024","failed","Sun Dec 29 10:55:08 IST 2024","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","16419","Runs Cucumber Scenarios","Suite","Sun Dec 29 10:57:46 IST 2024","passed","Sun Dec 29 10:58:03 IST 2024","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","1083","Runs Cucumber Scenarios","Suite","Sun Dec 29 10:55:07 IST 2024","passed","Sun Dec 29 10:55:08 IST 2024","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","183","Runs Cucumber Scenarios","Suite","Sun Dec 29 10:55:09 IST 2024","failed","Sun Dec 29 10:55:09 IST 2024","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","11688","Runs Cucumber Scenarios","Suite","Sun Dec 29 10:58:44 IST 2024","passed","Sun Dec 29 10:58:56 IST 2024","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","182","Runs Cucumber Scenarios","Suite","Sun Dec 29 10:55:09 IST 2024","failed","Sun Dec 29 10:55:09 IST 2024","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","166","Runs Cucumber Scenarios","Suite","Sun Dec 29 10:55:10 IST 2024","failed","Sun Dec 29 10:55:10 IST 2024","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","14718","Runs Cucumber Scenarios","Default Suite","Mon Dec 23 17:00:48 IST 2024","passed","Mon Dec 23 17:01:02 IST 2024","runner.TestRunner","itqa","runner.TestRunner","runScenario"
"","10175","Runs Cucumber Scenarios","Suite","Sun Dec 29 10:57:25 IST 2024","passed","Sun Dec 29 10:57:35 IST 2024","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","185","Runs Cucumber Scenarios","Suite","Sun Dec 29 10:55:10 IST 2024","passed","Sun Dec 29 10:55:10 IST 2024","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","20558","Runs Cucumber Scenarios","Suite","Sun Dec 29 10:55:35 IST 2024","broken","Sun Dec 29 10:55:55 IST 2024","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","10136","Runs Cucumber Scenarios","Suite","Sun Dec 29 10:59:16 IST 2024","passed","Sun Dec 29 10:59:26 IST 2024","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","9300","Runs Cucumber Scenarios","Suite","Sun Dec 29 10:57:16 IST 2024","passed","Sun Dec 29 10:57:25 IST 2024","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","93","Runs Cucumber Scenarios","Suite","Sun Dec 29 10:55:09 IST 2024","passed","Sun Dec 29 10:55:09 IST 2024","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
